Pantitlán,Zaragoza,1320,Hangares,1644,Puebla,1380,Agrícola Oriental,1409,,,,
Zaragoza,Gómez Farías,762,Pantitlán,1320,,,,,,,,
Gómez Farías,Boulevard Puerto Aéreo,611,Zaragoza,762,,,,,,,,
Boulevard Puerto Aéreo,Balbuena,595,Gómez Farías,611,,,,,,,,
Balbuena,Moctezuma,703,Boulevard Puerto Aéreo,595,,,,,,,,
Moctezuma,San Lázaro,478,Balbuena,703,,,,,,,,
San Lázaro,Candelaria,866,Moctezuma,478,Morelos,1296,Ricardo Flores Magón,907,,,,
Candelaria,Merced,698,San Lázaro,866,Morelos,1062,Fray Servando,633,,,,
Merced,Pino Suárez,745,Candelaria,698,,,,,,,,
Pino Suárez,Isabel la Católica,382,Merced,745,San Antonio Abad,817,Zócalo,745,,,,
Isabel la Católica,Salto del Agua,445,Pino Suárez,382,,,,,,,,
Salto del Agua,Balderas,458,Isabel la Católica,445,Doctores,564,San Juan de Letrán,292,,,,
Balderas,Cuauhtémoc,409,Salto del Agua,458,Niños Héroes,665,Juárez,659,,,,
Cuauhtémoc,Insurgentes,793,Balderas,409,,,,,,,,
Insurgentes,Sevilla,645,Cuauhtémoc,793,,,,,,,,
Sevilla,Chapultepec,501,Insurgentes,645,,,,,,,,
Chapultepec,Juanacatlán,973,Sevilla,501,,,,,,,,
Juanacatlán,Tacubaya,1158,Chapultepec,973,,,,,,,,
Tacubaya,Observatorio,1262,Juanacatlán,1158,San Pedro de los Pinos,1084,Constituyentes,1005,Patriotismo,1133,,
Observatorio,Tacubaya,1262,,,,,,,,,,
Cuatro Caminos,Panteones,1639,,,,,,,,,,
Panteones,Tacuba,1416,Cuatro Caminos,1639,,,,,,,,
Tacuba,Cuitláhuac,637,Panteones,1416,San Joaquín,1433,Refinería,952,,,,
Cuitláhuac,Popotla,620,Tacuba,637,,,,,,,,
Popotla,Colegio Militar,462,Cuitláhuac,620,,,,,,,,
Colegio Militar,Normal,516,Popotla,462,,,,,,,,
Normal,San Cosme,657,Colegio Militar,516,,,,,,,,
San Cosme,Revolución,537,Normal,657,,,,,,,,
Revolución,Hidalgo,587,San Cosme,537,,,,,,,,
Hidalgo,Bellas Artes,447,Revolución,587,Juárez,251,Guerrero,702,,,,
Bellas Artes,Allende,387,Hidalgo,447,San Juan de Letrán,456,Garibaldi,634,,,,
Allende,Zócalo,602,Bellas Artes,387,,,,,,,,
Zócalo,Pino Suárez,745,Allende,602,,,,,,,,
San Antonio Abad,Chabacano,642,Pino Suárez,817,,,,,,,,
Chabacano,Viaducto,774,San Antonio Abad,642,La Viga,843,Obrera,1143,Lázaro Cardenas,1000,Jamaica,1031
Viaducto,Xola,490,Chabacano,774,,,,,,,,
Xola,Villa de Cortés,698,Viaducto,490,,,,,,,,
Villa de Cortés,Nativitas,750,Xola,698,,,,,,,,
Nativitas,Portales,924,Villa de Cortés,750,,,,,,,,
Portales,Ermita,748,Nativitas,924,,,,,,,,
Ermita,General Anaya,838,Portales,748,Eje Central,895,Mexicaltzingo,1805,,,,
General Anaya,Tasqueña,1330,Ermita,838,,,,,,,,
Tasqueña,General Anaya,1330,,,,,,,,,,
Indios Verdes,Deportivo 18 de Marzo,1166,,,,,,,,,,
Deportivo 18 de Marzo,Potrero,966,Indios Verdes,1166,La Villa Basílica,570,Lindavista,1075,,,,
Potrero,La Raza,1106,Deportivo 18 de Marzo,966,,,,,,,,
